gene,outcome,coloc_source,PP_H4,cond_H4,nsnp,status
CTSK,AF,GTEx_aorta,0.009,0.372,400,ok
CTSK,CAC,GTEx_aorta,0.024,0.523,331,ok
CTSK,AIS,GTEx_aorta,0.006,0.697,301,ok
CTSK,CES,GTEx_aorta,0.014,0.784,268,ok
CTSK,LAS,GTEx_aorta,0.026,0.849,263,ok
CTSK,SVS,GTEx_aorta,0.018,0.819,263,ok
CTSK,FG_CHD,GTEx_aorta,0.009,0.084,344,ok
CTSK,FG_HF,GTEx_aorta,0.009,0.557,344,ok
CTSK,FG_AF,GTEx_aorta,0.55,0.916,344,ok
CTSK,FG_stroke,GTEx_aorta,0.146,0.943,344,ok
ESR1,CAD,GTEx_aorta,0.006,0.429,759,ok
ESR1,HF,GTEx_aorta,0.022,0.674,747,ok
ESR1,AF,GTEx_aorta,0.008,0.308,844,ok
ESR1,CAC,GTEx_aorta,0.013,0.398,790,ok
ESR1,AIS,GTEx_aorta,0.005,0.423,724,ok
ESR1,CES,GTEx_aorta,0.014,0.328,690,ok
ESR1,LAS,GTEx_aorta,0.014,0.475,572,ok
ESR1,SVS,GTEx_aorta,0.061,0.766,589,ok
ESR1,FG_CHD,GTEx_aorta,0.004,0.228,840,ok
ESR1,FG_HF,GTEx_aorta,0.043,0.709,840,ok
ESR1,FG_AF,GTEx_aorta,0.02,0.426,840,ok
ESR1,FG_stroke,GTEx_aorta,0.009,0.423,840,ok
PTH1R,CAD,UKB-PPP,0.043,0.696,371,ok
PTH1R,HF,UKB-PPP,0.011,0.6,337,ok
PTH1R,AF,UKB-PPP,0.051,0.241,641,ok
PTH1R,CAC,UKB-PPP,0.03,0.64,380,ok
PTH1R,AIS,UKB-PPP,0.006,0.328,308,ok
PTH1R,CES,UKB-PPP,0.044,0.869,273,ok
PTH1R,LAS,UKB-PPP,0.036,0.878,200,ok
PTH1R,SVS,UKB-PPP,0.025,0.609,246,ok
PTH1R,FG_CHD,UKB-PPP,0.052,0.366,554,ok
PTH1R,FG_HF,UKB-PPP,0.06,0.413,554,ok
PTH1R,FG_AF,UKB-PPP,0.134,0.843,554,ok
PTH1R,FG_stroke,UKB-PPP,0.118,0.673,554,ok
SPP1,CAD,UKB-PPP,0.006,0.312,952,ok
SPP1,HF,UKB-PPP,0.005,0.185,906,ok
SPP1,AF,UKB-PPP,0.004,0.112,1306,ok
SPP1,CAC,UKB-PPP,0.011,0.065,1020,ok
SPP1,AIS,UKB-PPP,0.038,0.665,847,ok
SPP1,CES,UKB-PPP,0.203,0.775,816,ok
SPP1,LAS,UKB-PPP,0.019,0.544,701,ok
SPP1,SVS,UKB-PPP,0.012,0.409,746,ok
SPP1,FG_CHD,UKB-PPP,0.004,0.117,1214,ok
SPP1,FG_HF,UKB-PPP,0.021,0.375,1214,ok
SPP1,FG_AF,UKB-PPP,0.011,0.282,1214,ok
SPP1,FG_stroke,UKB-PPP,0.012,0.302,1214,ok
