tissue,outcome,OR,pval
eQTLGen,CAD,0.9528276165246211,0.0007469758849072693
eQTLGen,FG_CHD,0.9671838931293256,0.0001465202277042996
eQTLGen,AF,0.9825691036934722,0.08339055585385421
eQTLGen,FG_AF,0.9522181282809542,0.00016479475338903438
eQTLGen,AIS,1.0134294191451856,0.31731050786291415
eQTLGen,FG_stroke,1.0009652645277072,0.9373295466263346
eQTLGen,CES,1.0118943110738752,0.7531290683489504
eQTLGen,LAS,1.036024488576215,0.29044639432372954
eQTLGen,SVS,1.0150981280725788,0.651324399083018
GTEx_aorta,CAD,1.0626544228108417,0.009904266409597028
GTEx_aorta,FG_CHD,1.0199459536594515,0.20870731857595515
GTEx_aorta,AF,1.01662658457657,0.3861246742838139
GTEx_aorta,FG_AF,1.0812539393306861,0.0007761270757097761
GTEx_aorta,AIS,0.9998414560678084,0.9933510389489663
GTEx_aorta,FG_stroke,1.0616528804844492,0.0068656098385456435
GTEx_aorta,CES,1.0004757826535067,0.9912959774333538
GTEx_aorta,LAS,0.9425733147988451,0.28792797258141134
GTEx_aorta,SVS,1.020340786292762,0.7174840330985783
